SKU,FNSku,Condition,Brand,Manufacturer,ProductTitle,LongDescription,ShortDescription,Subtitle,ASIN,UPC,EAN,ISBN,MPN,Price,MAPPrice,MSRP,BundleType,ProductType,VariationVaryBy,CopyToChildren,MultipackQuantity,VariationParentSKU,SubStyleCode,IsInRelationship,NetWeight,GrossWeight,DimensionUnit,WeightUnit,ProductHeight,ProductLength,ProductWidth,BoxHeight,BoxLength,BoxWidth,HarmonizedCode,IsBlocked,Warranty,ClassificationNum,Gender,AgeGroup,NRFDepartment,CountryOfOrigin,OriginalUPC,CustomerProductSKU,VariationSet,StyleStatus,StyleType,Description,StyleCode,ParentStyleCode,ProductStyleCode,ColorPatternCode,ColorPatternCodeId,SizeType,SizeCode,SizeCodeId,WidthCode,WidthCodeId,LengthCode,LengthCodeId,ClassCode,SubClassCode,DepartmentCode,DivisionCode,OEMCode,AlternateCode,Remark,Model,CatalogPage,CategoryCode,GroupCode,SubGroupCode,ProductStatus,PriceRule,Stockable,Taxable,Costable,IsProfit,Currency,UOM,QtyPerPallot,QtyPerCase,QtyPerBox,PackType,PackQty,DefaultPackType,DefaultVendorCode,PoSize,MinStock,LeadTimeDay,ProductYear,MaterialsContent,CareInstructions,ColorCodeNRF,ColorGroupNRF,SizeCodeNRF,SizePrimaryNRF,SizeSecondaryNRF,SizeHeadingNRF,SizeHeading2NRF,CategoryNRF,SubCategoryNRF,DropshipPrice,CRVPrice,ColorDesc,SizeDesc,WidthDesc,LengthDesc,PrepackCode,PrepackQty,AddWarehouse,AddAvaQty,ShipLeadTimeDay,ShipHandlingFee,ReceiveHandlingFee,ReturnHandlingFee,StorageFee,DisableDropshipReturn,OptionName1,OptionName2,OptionName3,OptionName4,OptionName5,OptionValue1,OptionValue2,OptionValue3,OptionValue4,OptionValue5,DropshipCategoryCode,DropshipCategoryCodePath,Barcode,Tags
AVIANA-06-BLACK-8.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-BLACK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,BLACK,BLACK,,8.5,8.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-BLACK-9,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-BLACK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,BLACK,BLACK,,9,9,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-BLACK-9.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-BLACK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,BLACK,BLACK,,9.5,9.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-BLACK-A12,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,0,0,0,3,1,,0,0,AVIANA-06,AVIANA-06-BLACK,0,0,20,0,0,0,0,0,12,20,16,,0,,0,,,,,,,,,,,AVIANA-06,,,BLACK,BLACK,,,,,,,,WOMEN,,WHOLESALE,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,A12,12,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-BLACK-B12,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,0,0,0,3,1,,0,0,AVIANA-06,AVIANA-06-BLACK,0,0,20,0,0,0,0,0,12,20,16,,0,,0,,,,,,,,,,,AVIANA-06,,,BLACK,BLACK,,,,,,,,WOMEN,,WHOLESALE,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,B12,12,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-BLACK-S,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,0,0,0,3,1,,0,0,AVIANA-06,AVIANA-06-BLACK,0,0,20,0,0,0,0,0,12,20,16,,0,,0,,,,,,,,,,,AVIANA-06,,,BLACK,BLACK,,,,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,S,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-10,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,10,10,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-11,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,11,11,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-12,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,12,12,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,5,5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-5.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,5.5,5.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-6,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,6,6,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-6.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,6.5,6.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-7,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,7,7,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-7.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,7.5,7.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-8,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,8,8,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-8.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,8.5,8.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-9,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,9,9,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-9.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,9.5,9.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-A12,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,0,0,0,3,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,20,0,0,0,0,0,12,20,16,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,,,,,,,WOMEN,,WHOLESALE,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,A12,12,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-B12,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,0,0,0,3,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,20,0,0,0,0,0,12,20,16,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,,,,,,,WOMEN,,WHOLESALE,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,B12,12,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-PINK-S,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,0,0,0,3,1,,0,0,AVIANA-06,AVIANA-06-PINK,0,0,20,0,0,0,0,0,12,20,16,,0,,0,,,,,,,,,,,AVIANA-06,,,PINK,PINK,,,,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,S,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-10,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,10,10,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-11,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,11,11,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-12,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,12,12,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,5,5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-5.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,5.5,5.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-6,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,6,6,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-6.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,6.5,6.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-7,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,7,7,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-7.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,7.5,7.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-8,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,8,8,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
AVIANA-06-WHITE-8.5,,0,,,FUR SLIPPER,,,FUR SLIPPER,,,,,,16.25,0,16.25,0,1,,0,0,AVIANA-06,AVIANA-06-WHITE,0,0,1.3,0,0,0,0,0,5,5,12,,0,,0,,,,,,,,,,,AVIANA-06,,,WHITE,WHITE,,8.5,8.5,,,,,WOMEN,,,,,,,,,,2022SS,,0,,FALSE,TRUE,FALSE,FALSE,,,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
